PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS
CA4200616,Ground water,95,-120.09373880240882,34.612877985331416,300,300,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4200881,Ground water,63,-120.07499426433095,34.66757548019836,210,210,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3700924,Ground water,123,-116.50272066647445,32.68010646903011,360,360,0.0,3.0,0.0,3.0,0.0,Failing
CA3200148,Ground water,21,-120.5440159228022,39.78567333822591,700,700,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA2700772,Ground water,105,-121.77273762841904,36.83376089932393,166,166,0.0,3.0,0.0,3.0,0.0,Failing
CA1503526,Ground water,12,-118.93324060417076,35.322458452679165,29,29,0.0,1.0,0.0,1.0,0.0,Failing
CA2710850,Ground water,2769,-121.37733676044245,36.468909292565286,5500,5500,0.0,0.0,0.0,0.0,1.0,Not At-Risk
CA3710006,Surface water,26766,-117.0577067440692,33.130811384501655,145901,137941,-0.05455754244316351,0.0,0.0,0.0,0.0,Not Assessed
CA3110009,Surface water,1496,-121.034549583492,38.996360923983154,3640,4001,0.09917582417582417,0.0,0.0,0.0,0.0,Not At-Risk
CA4100555,Ground water,35,-122.20355473862296,37.26259323623251,100,100,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA5800828,Ground water,86,-121.5066754225021,39.14379391671661,185,185,0.0,0.0,0.0,0.0,22.0,Potentially At-Risk
CA3500823,Ground water,48,-121.34412922586507,36.82146839302374,133,133,0.0,21.0,1.0,22.0,0.0,Failing
CA1010003,Surface water,37474,-119.6874175844624,36.82556192999744,103871,120891,0.1638570919698472,0.0,0.0,0.0,0.0,Not Assessed
CA1500443,Ground water,141,-118.464067692654,35.58770490478628,394,394,0.0,0.0,0.0,0.0,2.0,Failing
CA2000512,Ground water,85,-120.43718735598802,36.85617736806114,250,250,0.0,0.0,0.0,0.0,0.0,Failing
CA5800820,Ground water,84,-121.3137745530361,39.196263727207466,200,200,0.0,0.0,0.0,0.0,1.0,Not At-Risk
CA3100023,Ground water,23,-121.10574890685908,38.88366562412675,59,59,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA2600620,Ground water,116,-118.737526181517,37.567227210519846,225,366,0.6266666666666667,0.0,0.0,0.0,0.0,Not At-Risk
CA0900308,Ground water,52,-120.68673259019184,38.91704700755549,100,79,-0.21,0.0,0.0,0.0,1.0,Not At-Risk
CA2701553,Ground water,75,-121.66851996029334,36.818241716561566,216,216,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3610085,Ground water,1214,-117.65819996171965,34.155386620014845,3371,3371,0.0,1.0,0.0,1.0,0.0,Not At-Risk
CA3610002,Purchased water,931,-117.22875405637352,34.242189297514514,3000,2534,-0.15533333333333332,0.0,0.0,0.0,0.0,Failing
CA4900639,Ground water,18,-123.06653433299022,38.49991500015602,30,30,0.0,0.0,0.0,0.0,2.0,Failing
CA4210007,Surface water,4632,-119.6107253143062,34.43799651172996,13500,11428,-0.15348148148148147,0.0,0.0,0.0,0.0,Not At-Risk
CA4300615,Ground water,320,-121.66756467108556,37.05658773596748,508,508,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA1000407,Ground water,20,-119.4219539828068,36.59227648996157,40,40,0.0,2.0,0.0,2.0,1.0,Not At-Risk
CA3610032,Ground water,1706,-114.61851028257148,34.81258348117759,3631,5183,0.4274304599283944,0.0,0.0,0.0,1.0,Failing
CA1910185,Purchased water,1384,-118.66480359522856,34.466427649881496,5137,5289,0.029589254428654857,0.0,0.0,0.0,0.0,Not At-Risk
