k,max_intra_cluster_distance_km
1,1595.5543151043012
2,1595.5543151043012
3,1595.5543151043012
4,1595.5543151043012
5,1595.5543151043012
6,1595.5543151043012
7,1595.5543151043012
8,1595.5543151043012
9,1595.5543151043012
10,1595.5543151043012
11,1154.9386507463003
12,1154.9386507463003
13,1154.9386507463003
14,1154.9386507463003
15,1154.9386507463003
16,1154.9386507463003
17,1002.8915867195145
18,893.3057596528286
19,893.3057596528286
20,893.3057596528286
21,893.3057596528286
22,893.3057596528286
23,893.3057596528286
24,893.3057596528286
25,893.3057596528286
26,756.7935331638424
27,756.7935331638424
28,756.7935331638424
29,696.6048038121577
30,696.6048038121577
31,696.6048038121577
32,696.6048038121577
33,682.4559388411202
34,682.4559388411202
35,682.4559388411202
36,682.4559388411202
37,682.4559388411202
38,682.4559388411202
39,682.4559388411202
40,682.4559388411202
41,682.4559388411202
42,682.4559388411202
43,682.4559388411202
44,682.4559388411202
45,655.7422142381884
46,597.697824088338
47,597.697824088338
48,597.697824088338
49,597.697824088338
50,597.697824088338
51,597.697824088338
52,597.697824088338
53,523.7942506218202
54,523.7942506218202
55,523.7942506218202
56,523.7942506218202
57,523.7942506218202
58,523.7942506218202
59,523.7942506218202
60,523.7942506218202
61,522.8173841953205
62,522.8173841953205
63,522.8173841953205
64,522.8173841953205
65,469.96485192626557
66,469.96485192626557
67,469.96485192626557
68,469.96485192626557
69,469.96485192626557
70,469.96485192626557
71,469.96485192626557
72,469.96485192626557
73,466.1273537677994
74,466.1273537677994
75,466.1273537677994
76,466.1273537677994
77,466.1273537677994
78,466.1273537677994
79,466.1273537677994
80,466.1273537677994
81,466.1273537677994
82,466.1273537677994
83,407.5121264777172
84,407.5121264777172
85,407.5121264777172
86,407.5121264777172
87,407.5121264777172
88,407.5121264777172
89,407.5121264777172
90,390.22119948332556
91,390.22119948332556
92,390.22119948332556
93,390.22119948332556
94,390.22119948332556
95,390.22119948332556
96,390.22119948332556
97,390.22119948332556
98,390.22119948332556
99,390.22119948332556
100,390.22119948332556
101,368.5521873583791
102,368.5521873583791
103,368.5521873583791
104,361.8807797944614
105,361.8807797944614
106,361.8807797944614
107,361.8807797944614
108,361.8807797944614
109,361.8807797944614
110,361.8807797944614
111,361.8807797944614
112,361.8807797944614
113,361.8807797944614
114,361.8807797944614
115,361.8807797944614
116,359.27355751034725
117,359.27355751034725
118,359.27355751034725
119,359.27355751034725
120,359.27355751034725
121,359.27355751034725
122,359.27355751034725
123,359.27355751034725
124,359.27355751034725
125,359.27355751034725
126,359.27355751034725
127,359.27355751034725
128,359.27355751034725
129,359.27355751034725
130,359.27355751034725
131,359.27355751034725
132,359.27355751034725
133,359.27355751034725
134,359.27355751034725
135,359.27355751034725
136,359.27355751034725
137,359.27355751034725
138,359.27355751034725
139,359.27355751034725
140,359.27355751034725
141,359.27355751034725
142,359.27355751034725
143,359.27355751034725
144,359.27355751034725
145,359.27355751034725
146,359.27355751034725
147,359.27355751034725
148,359.27355751034725
149,359.27355751034725
150,359.27355751034725
151,359.27355751034725
152,359.27355751034725
153,359.27355751034725
154,359.27355751034725
155,359.27355751034725
156,359.27355751034725
157,359.27355751034725
158,359.27355751034725
159,359.27355751034725
160,359.27355751034725
161,359.27355751034725
162,359.27355751034725
163,359.27355751034725
164,359.27355751034725
165,359.27355751034725
166,359.27355751034725
167,359.27355751034725
168,357.11352835171436
169,357.11352835171436
170,357.11352835171436
171,357.11352835171436
172,357.11352835171436
173,357.11352835171436
174,357.11352835171436
175,357.11352835171436
176,357.11352835171436
177,357.11352835171436
178,357.11352835171436
179,357.11352835171436
180,357.11352835171436
181,357.11352835171436
182,357.11352835171436
183,357.11352835171436
184,357.11352835171436
185,357.11352835171436
186,357.11352835171436
187,357.11352835171436
188,357.11352835171436
189,357.11352835171436
190,357.11352835171436
191,357.11352835171436
192,357.11352835171436
193,357.11352835171436
194,357.11352835171436
195,357.11352835171436
196,357.11352835171436
197,357.11352835171436
198,357.11352835171436
199,357.11352835171436
200,357.11352835171436
201,357.11352835171436
202,357.11352835171436
203,357.11352835171436
204,357.11352835171436
205,357.11352835171436
206,357.11352835171436
207,357.11352835171436
208,357.11352835171436
209,357.11352835171436
210,357.11352835171436
211,357.11352835171436
212,357.11352835171436
213,357.11352835171436
214,357.11352835171436
215,357.11352835171436
216,357.11352835171436
217,357.11352835171436
218,357.11352835171436
219,357.11352835171436
220,357.11352835171436
221,357.11352835171436
222,357.11352835171436
223,357.11352835171436
224,357.11352835171436
225,357.11352835171436
226,357.11352835171436
227,357.11352835171436
228,357.11352835171436
229,357.11352835171436
230,357.11352835171436
231,357.11352835171436
232,357.11352835171436
233,357.11352835171436
234,357.11352835171436
235,357.11352835171436
236,357.11352835171436
237,357.11352835171436
238,357.11352835171436
239,357.11352835171436
240,357.11352835171436
241,357.11352835171436
242,357.11352835171436
243,357.11352835171436
244,357.11352835171436
245,357.11352835171436
246,357.11352835171436
247,357.11352835171436
248,357.11352835171436
249,357.11352835171436
250,357.11352835171436
251,357.11352835171436
252,357.11352835171436
253,357.11352835171436
254,357.11352835171436
255,357.11352835171436
256,357.11352835171436
257,357.11352835171436
258,357.11352835171436
259,357.11352835171436
260,357.11352835171436
261,357.11352835171436
262,357.11352835171436
263,357.11352835171436
264,357.11352835171436
265,357.11352835171436
266,357.11352835171436
267,357.11352835171436
268,357.11352835171436
269,357.11352835171436
270,357.11352835171436
271,357.11352835171436
272,357.11352835171436
273,357.11352835171436
274,357.11352835171436
275,357.11352835171436
276,357.11352835171436
277,357.11352835171436
278,357.11352835171436
279,357.11352835171436
280,357.11352835171436
281,357.11352835171436
282,357.11352835171436
283,357.11352835171436
284,357.11352835171436
285,357.11352835171436
286,357.11352835171436
287,357.11352835171436
288,357.11352835171436
289,357.11352835171436
290,357.11352835171436
291,357.11352835171436
292,357.11352835171436
293,357.11352835171436
294,357.11352835171436
295,357.11352835171436
296,357.11352835171436
297,357.11352835171436
298,357.11352835171436
299,357.11352835171436
300,357.11352835171436
301,357.11352835171436
302,357.11352835171436
303,357.11352835171436
304,357.11352835171436
305,357.11352835171436
306,357.11352835171436
307,357.11352835171436
308,357.11352835171436
309,357.11352835171436
310,357.11352835171436
311,357.11352835171436
312,203.10279649137402
313,203.10279649137402
314,203.10279649137402
315,203.10279649137402
316,203.10279649137402
317,203.10279649137402
318,203.10279649137402
319,203.10279649137402
320,203.10279649137402
321,203.10279649137402
322,203.10279649137402
323,203.10279649137402
324,203.10279649137402
325,202.67374826895002
326,202.67374826895002
327,202.67374826895002
328,202.67374826895002
329,202.67374826895002
330,202.67374826895002
331,202.67374826895002
332,202.67374826895002
333,202.67374826895002
334,202.67374826895002
335,202.67374826895002
336,202.67374826895002
337,202.67374826895002
338,202.67374826895002
339,202.67374826895002
340,202.67374826895002
341,202.67374826895002
342,202.67374826895002
343,202.67374826895002
344,202.67374826895002
345,202.67374826895002
346,202.67374826895002
347,202.67374826895002
348,202.67374826895002
349,202.67374826895002
350,202.67374826895002
351,202.67374826895002
352,202.67374826895002
353,202.67374826895002
354,202.67374826895002
355,202.67374826895002
356,202.67374826895002
357,202.67374826895002
358,202.67374826895002
359,202.67374826895002
360,202.67374826895002
361,202.67374826895002
362,202.67374826895002
363,202.67374826895002
364,202.67374826895002
365,202.67374826895002
366,202.67374826895002
367,202.67374826895002
368,202.67374826895002
369,202.67374826895002
370,202.67374826895002
371,202.67374826895002
372,202.67374826895002
373,202.67374826895002
374,202.67374826895002
375,202.67374826895002
376,202.67374826895002
377,202.67374826895002
378,202.67374826895002
379,202.67374826895002
380,202.67374826895002
381,202.67374826895002
382,202.67374826895002
383,202.67374826895002
384,202.67374826895002
385,202.67374826895002
386,202.67374826895002
387,202.67374826895002
388,202.67374826895002
389,202.67374826895002
390,202.67374826895002
391,202.67374826895002
392,202.67374826895002
393,202.67374826895002
394,202.67374826895002
395,202.67374826895002
396,202.67374826895002
397,202.67374826895002
398,202.67374826895002
399,202.67374826895002
400,202.67374826895002
401,202.67374826895002
402,202.67374826895002
403,202.67374826895002
404,202.67374826895002
405,202.67374826895002
406,202.67374826895002
407,202.67374826895002
408,202.67374826895002
409,202.67374826895002
410,202.67374826895002
411,202.67374826895002
412,202.67374826895002
413,202.67374826895002
414,202.67374826895002
415,202.67374826895002
416,202.67374826895002
417,202.67374826895002
418,202.67374826895002
419,202.67374826895002
420,202.67374826895002
421,202.67374826895002
422,202.67374826895002
423,202.67374826895002
424,202.67374826895002
425,202.67374826895002
426,202.67374826895002
427,202.67374826895002
428,202.67374826895002
429,202.67374826895002
430,202.67374826895002
431,202.67374826895002
432,202.67374826895002
433,202.67374826895002
434,202.67374826895002
435,202.67374826895002
436,202.67374826895002
437,202.67374826895002
438,202.67374826895002
439,202.67374826895002
440,202.67374826895002
441,202.67374826895002
442,202.67374826895002
443,202.67374826895002
444,202.67374826895002
445,202.67374826895002
446,202.67374826895002
447,202.67374826895002
448,202.67374826895002
449,202.67374826895002
450,202.67374826895002
451,202.67374826895002
452,202.67374826895002
453,202.67374826895002
454,202.67374826895002
455,202.67374826895002
456,202.67374826895002
457,202.67374826895002
458,202.67374826895002
459,202.67374826895002
460,202.67374826895002
461,202.67374826895002
462,202.67374826895002
463,202.67374826895002
464,202.67374826895002
465,202.67374826895002
466,202.67374826895002
467,202.67374826895002
468,202.67374826895002
469,202.67374826895002
470,202.67374826895002
471,202.67374826895002
472,202.67374826895002
473,202.67374826895002
474,202.67374826895002
475,202.67374826895002
476,202.67374826895002
477,202.67374826895002
478,202.67374826895002
479,202.67374826895002
480,202.67374826895002
481,202.67374826895002
482,202.67374826895002
483,202.67374826895002
484,202.67374826895002
485,202.67374826895002
486,202.67374826895002
487,202.67374826895002
488,202.67374826895002
489,202.67374826895002
490,202.67374826895002
491,202.67374826895002
492,202.67374826895002
493,173.13718354122707
494,173.13718354122707
495,173.13718354122707
496,173.13718354122707
497,173.13718354122707
498,173.13718354122707
499,173.13718354122707
500,173.13718354122707
501,173.13718354122707
502,173.13718354122707
503,173.13718354122707
504,173.13718354122707
505,173.13718354122707
506,173.13718354122707
507,173.13718354122707
508,173.13718354122707
509,173.13718354122707
510,173.13718354122707
511,173.13718354122707
512,173.13718354122707
513,173.13718354122707
514,173.13718354122707
515,173.13718354122707
516,173.13718354122707
517,173.13718354122707
518,173.13718354122707
519,173.13718354122707
520,173.13718354122707
521,173.13718354122707
522,173.13718354122707
523,173.13718354122707
524,173.13718354122707
525,173.13718354122707
526,173.13718354122707
527,173.13718354122707
528,173.13718354122707
529,173.13718354122707
530,173.13718354122707
531,173.13718354122707
532,173.13718354122707
533,173.13718354122707
534,173.13718354122707
535,173.13718354122707
536,173.13718354122707
537,173.13718354122707
538,173.13718354122707
539,173.13718354122707
540,173.13718354122707
541,173.13718354122707
542,173.13718354122707
543,173.13718354122707
544,173.13718354122707
545,173.13718354122707
546,173.13718354122707
547,173.13718354122707
548,173.13718354122707
549,173.13718354122707
550,173.13718354122707
551,173.13718354122707
552,173.13718354122707
553,173.13718354122707
554,173.13718354122707
555,173.13718354122707
556,173.13718354122707
557,173.13718354122707
558,173.13718354122707
559,173.13718354122707
560,173.13718354122707
561,173.13718354122707
562,173.13718354122707
563,173.13718354122707
564,173.13718354122707
565,173.13718354122707
566,173.13718354122707
567,173.13718354122707
568,173.13718354122707
569,173.13718354122707
570,173.13718354122707
571,173.13718354122707
572,173.13718354122707
573,173.13718354122707
574,173.13718354122707
575,173.13718354122707
576,173.13718354122707
577,173.13718354122707
578,173.13718354122707
579,173.13718354122707
580,173.13718354122707
581,173.13718354122707
582,173.13718354122707
583,173.13718354122707
584,173.13718354122707
585,173.13718354122707
586,173.13718354122707
587,173.13718354122707
588,173.13718354122707
589,173.13718354122707
590,173.13718354122707
591,173.13718354122707
592,173.13718354122707
593,173.13718354122707
594,173.13718354122707
595,173.13718354122707
596,173.13718354122707
597,173.13718354122707
598,173.13718354122707
599,173.13718354122707
600,173.13718354122707
601,173.13718354122707
602,173.13718354122707
603,173.13718354122707
604,173.13718354122707
605,173.13718354122707
606,173.13718354122707
607,173.13718354122707
608,173.13718354122707
609,173.13718354122707
610,173.13718354122707
611,173.13718354122707
612,173.13718354122707
613,173.13718354122707
614,173.13718354122707
615,173.13718354122707
616,173.13718354122707
617,173.13718354122707
618,173.13718354122707
619,173.13718354122707
620,173.13718354122707
621,173.13718354122707
622,173.13718354122707
623,173.13718354122707
624,173.13718354122707
625,173.13718354122707
626,173.13718354122707
627,173.13718354122707
628,173.13718354122707
629,173.13718354122707
630,173.13718354122707
631,173.13718354122707
632,173.13718354122707
633,173.13718354122707
634,173.13718354122707
635,173.13718354122707
636,173.13718354122707
637,173.13718354122707
638,173.13718354122707
639,173.13718354122707
640,173.13718354122707
641,173.13718354122707
642,173.13718354122707
643,173.13718354122707
644,173.13718354122707
645,173.13718354122707
646,173.13718354122707
647,173.13718354122707
648,173.13718354122707
649,173.13718354122707
650,173.13718354122707
651,173.13718354122707
652,173.13718354122707
653,173.13718354122707
654,173.13718354122707
655,173.13718354122707
656,173.13718354122707
657,173.13718354122707
658,173.13718354122707
659,173.13718354122707
660,173.13718354122707
661,173.13718354122707
662,173.13718354122707
663,173.13718354122707
664,173.13718354122707
665,173.13718354122707
666,173.13718354122707
667,173.13718354122707
668,173.13718354122707
669,173.13718354122707
670,173.13718354122707
671,173.13718354122707
672,173.13718354122707
673,173.13718354122707
674,173.13718354122707
675,173.13718354122707
676,173.13718354122707
677,173.13718354122707
678,173.13718354122707
679,173.13718354122707
680,173.13718354122707
681,173.13718354122707
682,173.13718354122707
683,173.13718354122707
684,173.13718354122707
685,173.13718354122707
686,173.13718354122707
687,173.13718354122707
688,173.13718354122707
689,173.13718354122707
690,173.13718354122707
691,173.13718354122707
692,173.13718354122707
693,173.13718354122707
694,173.13718354122707
695,173.13718354122707
696,173.13718354122707
697,173.13718354122707
698,173.13718354122707
699,173.13718354122707
700,173.13718354122707
701,173.13718354122707
702,173.13718354122707
703,173.13718354122707
704,173.13718354122707
705,173.13718354122707
706,173.13718354122707
707,173.13718354122707
708,173.13718354122707
709,173.13718354122707
710,173.13718354122707
711,173.13718354122707
712,173.13718354122707
713,173.13718354122707
714,173.13718354122707
715,173.13718354122707
716,173.13718354122707
717,173.13718354122707
718,173.13718354122707
719,173.13718354122707
720,173.13718354122707
721,173.13718354122707
722,173.13718354122707
723,173.13718354122707
724,173.13718354122707
725,173.13718354122707
726,173.13718354122707
727,173.13718354122707
728,173.13718354122707
729,173.13718354122707
730,173.13718354122707
731,173.13718354122707
732,173.13718354122707
733,173.13718354122707
734,173.13718354122707
735,173.13718354122707
736,173.13718354122707
737,173.13718354122707
738,173.13718354122707
739,173.13718354122707
740,173.13718354122707
741,173.13718354122707
742,173.13718354122707
743,173.13718354122707
744,173.13718354122707
745,173.13718354122707
