PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS,Physical_Consolidation_Type,Physical_Cluster_Number,Managerial_Consolidation_Type,Managerial_Cluster_Number
CA1510042,Ground water,375,-118.40614791408404,35.63840808390326,1131,777,-0.3129973474801061,0.0,0.0,0.0,2.0,Potentially At-Risk,No_Consolidation,1420,Balanced_Merger,359
CA4510003,Ground water,1413,-121.67794179772584,40.8812679943806,3154,3154,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1421,Balanced_Merger,360
CA1900563,Ground water,330,-118.26836146829832,34.80122660934571,1100,1100,0.0,0.0,0.0,0.0,2.0,Not At-Risk,No_Consolidation,1422,Balanced_Merger,361
CA1910101,Purchased water,4325,-118.02786446223595,33.93327301802404,25000,25000,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1423,Balanced_Merger,362
CA5601201,Purchased water,232,-119.12272906412298,34.330353187430056,951,832,-0.1251314405888538,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,91,Direct_Acquisition,363
CA2110002,Surface water,62206,-122.54699041787148,37.95286339394384,195362,189100,-0.0320533164074896,0.0,0.0,0.0,0.0,Not Assessed,No_Consolidation,1424,No_Consolidation,1026
CA1502569,Ground water,13,-118.23569087529522,34.85964914905845,35,35,0.0,18.0,0.0,18.0,0.0,Failing,Balanced_Merger,92,Balanced_Merger,332
CA3610112,Ground water,2830,-117.36863190267898,34.75898144410928,5716,5849,0.0232680195941217,0.0,0.0,0.0,2.0,Not At-Risk,No_Consolidation,1425,No_Consolidation,1027
CA4500054,Ground water,75,-122.19529457414691,40.41840752757756,204,204,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1426,No_Consolidation,1028
CA1909006,Ground water,237,-118.58639404460394,34.78661871842343,736,766,0.0407608695652173,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1427,Balanced_Merger,299
CA3610109,Ground water,1191,-117.56912248863549,34.42345330074554,3354,3623,0.0802027429934406,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1428,Balanced_Merger,179
CA5601122,Purchased water,38,-119.29209219483587,34.42308926559453,90,70,-0.2222222222222222,0.0,0.0,0.0,2.0,Potentially At-Risk,No_Consolidation,1429,Balanced_Merger,300
CA5301008,Ground water,81,-122.78660034149,40.76250002442982,200,223,0.115,0.0,0.0,0.0,4.0,Not At-Risk,No_Consolidation,1430,No_Consolidation,1029
CA4510011,Purchased water,1257,-122.47271498407711,40.53142148480225,3992,4211,0.0548597194388777,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1431,Balanced_Merger,301
CA2110005,Surface water,587,-122.70403171103496,37.90899414174661,1620,2620,0.6172839506172839,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1432,No_Consolidation,1030
CA0707545,Ground water,11,-121.61183524525563,37.93873239387781,350,350,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1433,No_Consolidation,1031
CA5000579,Ground water,10,-120.7535527562173,37.57381573785607,26,26,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1434,Direct_Acquisition,298
CA2701367,Ground water,21,-121.73411609212909,36.56603031243216,63,63,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,93,Balanced_Merger,125
CA2900548,Ground water,32,-121.18253881455884,39.18847522851207,100,100,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk,Balanced_Merger,90,Direct_Acquisition,303
CA2701589,Ground water,15,-121.45411030553976,36.595825801374,45,45,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1435,Balanced_Merger,304
CA2702003,Ground water,25,-121.65467248322398,36.79805123208877,75,65,-0.1333333333333333,0.0,0.0,0.0,0.0,Potentially At-Risk,Balanced_Merger,89,Joint_Merger,9
CA3400107,Ground water,83,-121.61255818592608,38.111548563122696,150,150,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,88,Balanced_Merger,305
CA3301775,Purchased water,231,-116.84048623078156,33.87420516297775,560,762,0.3607142857142857,0.0,0.0,0.0,2.0,Not At-Risk,No_Consolidation,1436,No_Consolidation,1032
CA5304502,Surface water,42,-123.57859001397088,40.90618511429807,82,135,0.6463414634146342,0.0,4.0,4.0,1.0,Not At-Risk,No_Consolidation,1437,Balanced_Merger,306
